parameter_set_id,ab_role,min_rebound_bps,min_buys,min_net_flow_reserve_ppm,candidate_count,h15_observable_n,h15_p50_bps,h30_observable_n,h30_p50_bps,neighbor_count,neighbor_15s_median_of_medians_bps,neighbor_30s_median_of_medians_bps
FP1-EXP0004-C-019-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL93000,CONTROL,200,4,93000,37,23,681,12,639,5,144,249
FP1-EXP0004-C-020-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU4-FL185000,CONTROL,200,4,185000,16,9,-569,4,-902,4,-569,-762
FP1-EXP0004-C-021-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL0,CONTROL,200,8,0,40,28,222,14,-112,3,250,-112
FP1-EXP0004-C-022-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL6000,CONTROL,200,8,6000,39,26,250,13,-112,4,237,-112
FP1-EXP0004-C-023-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL30000,CONTROL,200,8,30000,35,25,252,12,-112,4,250,-112
FP1-EXP0004-C-024-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL93000,CONTROL,200,8,93000,23,17,250,8,-327,4,251,-219
FP1-EXP0004-C-025-CONTROL-R500-T2-U1-PD1000-9000-RB200-BU8-FL185000,CONTROL,200,8,185000,9,6,-569,1,-622,3,-497,-622
FP1-EXP0004-C-026-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL0,CONTROL,500,1,0,219,118,125,61,44,4,157,155
FP1-EXP0004-C-027-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL6000,CONTROL,500,1,6000,175,100,192,50,208,5,133,309
FP1-EXP0004-C-028-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL30000,CONTROL,500,1,30000,121,71,190,35,195,5,190,208
FP1-EXP0004-C-029-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL93000,CONTROL,500,1,93000,56,32,305,16,477,5,190,477
FP1-EXP0004-C-030-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU1-FL185000,CONTROL,500,1,185000,21,9,-569,4,-2083,4,-569,-2083
FP1-EXP0004-C-031-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL0,CONTROL,500,2,0,174,96,133,48,144,5,133,208
FP1-EXP0004-C-032-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL6000,CONTROL,500,2,6000,152,88,133,43,391,6,133,232
FP1-EXP0004-C-033-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL30000,CONTROL,500,2,30000,117,68,133,34,144,6,138,225
FP1-EXP0004-C-034-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL93000,CONTROL,500,2,93000,53,30,144,16,477,6,224,363
FP1-EXP0004-C-035-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU2-FL185000,CONTROL,500,2,185000,19,9,-569,4,-2083,5,-569,-2083
FP1-EXP0004-C-036-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL0,CONTROL,500,3,0,129,79,133,41,208,5,133,182
FP1-EXP0004-C-037-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL6000,CONTROL,500,3,6000,118,75,166,38,256,6,133,232
FP1-EXP0004-C-038-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL30000,CONTROL,500,3,30000,98,61,133,32,256,6,126,256
FP1-EXP0004-C-039-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL93000,CONTROL,500,3,93000,47,29,305,16,249,6,144,366
FP1-EXP0004-C-040-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU3-FL185000,CONTROL,500,3,185000,17,8,-569,4,-2083,5,-569,-2083
FP1-EXP0004-C-041-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL0,CONTROL,500,4,0,92,60,120,30,33,5,133,33
FP1-EXP0004-C-042-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL6000,CONTROL,500,4,6000,88,59,120,30,-91,6,120,144
FP1-EXP0004-C-043-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL30000,CONTROL,500,4,30000,79,50,120,26,620,6,126,438
FP1-EXP0004-C-044-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL93000,CONTROL,500,4,93000,36,22,681,12,639,6,277,434
FP1-EXP0004-C-045-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU4-FL185000,CONTROL,500,4,185000,15,8,-569,4,-902,5,-569,-902
FP1-EXP0004-C-046-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL0,CONTROL,500,8,0,38,27,250,14,-112,4,237,-112
FP1-EXP0004-C-047-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL6000,CONTROL,500,8,6000,37,25,252,13,-112,5,250,-112
FP1-EXP0004-C-048-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL30000,CONTROL,500,8,30000,33,24,252,12,-112,5,252,-112
FP1-EXP0004-C-049-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL93000,CONTROL,500,8,93000,22,16,250,8,-327,5,252,-112
FP1-EXP0004-C-050-CONTROL-R500-T2-U1-PD1000-9000-RB500-BU8-FL185000,CONTROL,500,8,185000,8,5,-497,1,-622,4,-533,-622
FP1-EXP0004-C-051-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL0,CONTROL,800,1,0,207,109,84,52,166,4,110,303
FP1-EXP0004-C-052-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL6000,CONTROL,800,1,6000,163,91,133,44,309,5,133,390
FP1-EXP0004-C-053-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL30000,CONTROL,800,1,30000,119,69,133,33,390,5,190,309
FP1-EXP0004-C-054-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL93000,CONTROL,800,1,93000,55,31,443,15,526,5,305,477
FP1-EXP0004-C-055-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU1-FL185000,CONTROL,800,1,185000,21,9,-569,4,-2083,4,-569,-2083
FP1-EXP0004-C-056-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL0,CONTROL,800,2,0,163,87,96,41,391,5,84,182
FP1-EXP0004-C-057-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL6000,CONTROL,800,2,6000,141,79,84,38,391,6,114,350
FP1-EXP0004-C-058-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL30000,CONTROL,800,2,30000,115,66,84,32,144,6,133,458
FP1-EXP0004-C-059-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL93000,CONTROL,800,2,93000,52,29,305,15,526,6,224,477
FP1-EXP0004-C-060-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU2-FL185000,CONTROL,800,2,185000,19,9,-569,4,-2083,5,-569,-2083
FP1-EXP0004-C-061-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL0,CONTROL,800,3,0,126,77,115,42,182,5,133,391
FP1-EXP0004-C-062-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL6000,CONTROL,800,3,6000,116,74,133,40,188,6,117,402
FP1-EXP0004-C-063-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL30000,CONTROL,800,3,30000,97,60,120,31,526,6,133,366
FP1-EXP0004-C-064-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL93000,CONTROL,800,3,93000,46,28,305,15,477,6,305,387
FP1-EXP0004-C-065-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU3-FL185000,CONTROL,800,3,185000,17,8,-569,4,-2083,5,-569,-2083
FP1-EXP0004-C-066-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL0,CONTROL,800,4,0,89,56,133,28,414,5,120,103
FP1-EXP0004-C-067-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL6000,CONTROL,800,4,6000,86,56,120,29,414,6,126,125
FP1-EXP0004-C-068-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL30000,CONTROL,800,4,30000,79,49,120,25,639,6,157,573
FP1-EXP0004-C-069-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL93000,CONTROL,800,4,93000,35,21,776,11,929,6,357,558
FP1-EXP0004-C-070-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU4-FL185000,CONTROL,800,4,185000,15,8,-569,4,-902,5,-569,-902
FP1-EXP0004-C-071-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL0,CONTROL,800,8,0,35,25,252,12,-112,4,251,151
FP1-EXP0004-C-072-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL6000,CONTROL,800,8,6000,35,24,252,12,-112,5,252,414
FP1-EXP0004-C-073-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL30000,CONTROL,800,8,30000,32,23,483,11,826,5,252,-112
FP1-EXP0004-C-074-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL93000,CONTROL,800,8,93000,21,15,410,7,-112,5,410,-112
FP1-EXP0004-C-075-CONTROL-R500-T2-U1-PD1000-9000-RB800-BU8-FL185000,CONTROL,800,8,185000,8,5,-497,1,-622,4,-497,-622
FP1-EXP0004-C-076-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL0,CONTROL,2300,1,0,164,92,89,53,297,4,68,390
FP1-EXP0004-C-077-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL6000,CONTROL,2300,1,6000,125,73,164,42,391,5,89,390
FP1-EXP0004-C-078-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL30000,CONTROL,2300,1,30000,92,52,194,26,784,5,164,526
FP1-EXP0004-C-079-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL93000,CONTROL,2300,1,93000,53,29,443,13,526,5,194,526
FP1-EXP0004-C-080-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU1-FL185000,CONTROL,2300,1,185000,21,9,-569,4,-2083,4,-569,-1352
FP1-EXP0004-C-081-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL0,CONTROL,2300,2,0,125,69,52,35,748,5,89,391
FP1-EXP0004-C-082-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL6000,CONTROL,2300,2,6000,105,60,54,31,784,6,97,581
FP1-EXP0004-C-083-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL30000,CONTROL,2300,2,30000,86,47,228,23,826,6,139,655
FP1-EXP0004-C-084-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL93000,CONTROL,2300,2,93000,50,27,410,13,526,6,266,526
FP1-EXP0004-C-085-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU2-FL185000,CONTROL,2300,2,185000,19,9,-569,4,-2083,5,-569,-2083
FP1-EXP0004-C-086-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL0,CONTROL,2300,3,0,93,57,110,31,526,5,110,413
FP1-EXP0004-C-087-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL6000,CONTROL,2300,3,6000,84,52,110,27,826,6,115,469
FP1-EXP0004-C-088-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL30000,CONTROL,2300,3,30000,73,43,194,22,826,6,157,387
FP1-EXP0004-C-089-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL93000,CONTROL,2300,3,93000,44,26,410,13,249,6,249,501
FP1-EXP0004-C-090-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU3-FL185000,CONTROL,2300,3,185000,17,8,-569,4,-2083,5,-569,-902
FP1-EXP0004-C-091-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL0,CONTROL,2300,4,0,67,43,120,21,103,5,120,414
FP1-EXP0004-C-092-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL6000,CONTROL,2300,4,6000,64,42,120,20,63,6,120,258
FP1-EXP0004-C-093-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL30000,CONTROL,2300,4,30000,60,38,194,18,79,6,157,639
FP1-EXP0004-C-094-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL93000,CONTROL,2300,4,93000,35,21,546,11,639,6,302,26
FP1-EXP0004-C-095-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU4-FL185000,CONTROL,2300,4,185000,15,8,-569,4,-902,5,-569,-622
FP1-EXP0004-C-096-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL0,CONTROL,2300,8,0,28,19,494,9,826,4,186,-4
FP1-EXP0004-C-097-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL6000,CONTROL,2300,8,6000,28,19,494,9,826,5,252,63
FP1-EXP0004-C-098-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL30000,CONTROL,2300,8,30000,27,19,494,9,826,5,410,79
FP1-EXP0004-C-099-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL93000,CONTROL,2300,8,93000,21,15,410,7,-112,5,410,-112
FP1-EXP0004-C-100-CONTROL-R500-T2-U1-PD1000-9000-RB2300-BU8-FL185000,CONTROL,2300,8,185000,8,5,-497,1,-622,4,-533,-622
FP1-EXP0004-C-101-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL0,CONTROL,7300,1,0,70,36,31,26,390,4,6,220
FP1-EXP0004-C-102-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL6000,CONTROL,7300,1,6000,55,28,-72,21,390,5,31,414
FP1-EXP0004-C-103-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL30000,CONTROL,7300,1,30000,39,19,22,12,960,5,31,526
FP1-EXP0004-C-104-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL93000,CONTROL,7300,1,93000,22,9,173,5,526,5,22,526
FP1-EXP0004-C-105-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU1-FL185000,CONTROL,7300,1,185000,13,5,-569,3,-622,4,-569,-1352
FP1-EXP0004-C-106-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL0,CONTROL,7300,2,0,53,31,12,20,144,5,31,414
FP1-EXP0004-C-107-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL6000,CONTROL,7300,2,6000,45,26,-188,17,414,6,21,469
FP1-EXP0004-C-108-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL30000,CONTROL,7300,2,30000,33,17,31,10,526,6,71,526
FP1-EXP0004-C-109-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL93000,CONTROL,7300,2,93000,18,9,173,5,526,6,102,526
FP1-EXP0004-C-110-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU2-FL185000,CONTROL,7300,2,185000,11,5,-569,3,-622,5,-569,-622
FP1-EXP0004-C-111-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL0,CONTROL,7300,3,0,44,23,12,17,413,5,31,413
FP1-EXP0004-C-112-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL6000,CONTROL,7300,3,6000,37,21,-102,15,413,6,39,413
FP1-EXP0004-C-113-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL30000,CONTROL,7300,3,30000,28,15,-497,10,249,6,75,469
FP1-EXP0004-C-114-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL93000,CONTROL,7300,3,93000,17,9,173,5,249,6,173,249
FP1-EXP0004-C-115-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU3-FL185000,CONTROL,7300,3,185000,9,4,-569,3,-622,5,-569,-622
FP1-EXP0004-C-116-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL0,CONTROL,7300,4,0,32,18,31,13,24,5,12,-47
FP1-EXP0004-C-117-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL6000,CONTROL,7300,4,6000,29,17,67,12,-47,6,-35,43
FP1-EXP0004-C-118-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL30000,CONTROL,7300,4,30000,25,14,31,9,-47,6,-215,-37
FP1-EXP0004-C-119-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL93000,CONTROL,7300,4,93000,14,7,173,4,-27,6,-233,-334
FP1-EXP0004-C-120-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU4-FL185000,CONTROL,7300,4,185000,7,4,-569,3,-622,5,-569,-622
FP1-EXP0004-C-121-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL0,CONTROL,7300,8,0,15,9,-497,4,-622,4,-233,-299
FP1-EXP0004-C-122-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL6000,CONTROL,7300,8,6000,15,9,-497,4,-622,5,-497,-622
FP1-EXP0004-C-123-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL30000,CONTROL,7300,8,30000,14,9,-497,4,-622,5,-497,-622
FP1-EXP0004-C-124-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL93000,CONTROL,7300,8,93000,10,5,-497,2,-622,5,-162,-367
FP1-EXP0004-C-125-CONTROL-R500-T2-U1-PD1000-9000-RB7300-BU8-FL185000,CONTROL,7300,8,185000,4,2,-569,1,-622,4,-497,-622
FP1-EXP0004-C-126-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL0,CONTROL,20700,1,0,30,17,0,12,-83,3,277,436
FP1-EXP0004-C-127-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL6000,CONTROL,20700,1,6000,20,8,277,6,563,4,11,675
FP1-EXP0004-C-128-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL30000,CONTROL,20700,1,30000,14,7,22,5,960,4,71,544
FP1-EXP0004-C-129-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL93000,CONTROL,20700,1,93000,6,4,-652,3,526,4,-315,526
FP1-EXP0004-C-130-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU1-FL185000,CONTROL,20700,1,185000,5,3,-652,2,-2474,3,-652,-622
FP1-EXP0004-C-131-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL0,CONTROL,20700,2,0,22,12,277,10,436,4,144,335
FP1-EXP0004-C-132-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL6000,CONTROL,20700,2,6000,15,6,379,5,1213,5,277,526
FP1-EXP0004-C-133-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL30000,CONTROL,20700,2,30000,10,5,120,4,526,5,31,526
FP1-EXP0004-C-134-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL93000,CONTROL,20700,2,93000,5,4,-652,3,526,5,120,526
FP1-EXP0004-C-135-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU2-FL185000,CONTROL,20700,2,185000,4,3,-652,2,-2474,4,-652,-1548
FP1-EXP0004-C-136-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL0,CONTROL,20700,3,0,15,8,277,7,526,4,144,424
FP1-EXP0004-C-137-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL6000,CONTROL,20700,3,6000,11,6,277,5,526,5,120,526
FP1-EXP0004-C-138-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL30000,CONTROL,20700,3,30000,7,4,120,4,526,5,120,526
FP1-EXP0004-C-139-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL93000,CONTROL,20700,3,93000,3,3,277,3,526,5,-652,249
FP1-EXP0004-C-140-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU3-FL185000,CONTROL,20700,3,185000,2,2,-652,2,-2474,4,-610,-1548
FP1-EXP0004-C-141-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL0,CONTROL,20700,4,0,10,6,-280,6,-134,4,-94,218
FP1-EXP0004-C-142-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL6000,CONTROL,20700,4,6000,8,5,-220,5,413,5,-280,-134
FP1-EXP0004-C-143-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL30000,CONTROL,20700,4,30000,7,4,-652,4,-321,5,-220,-47
FP1-EXP0004-C-144-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL93000,CONTROL,20700,4,93000,3,2,-4333,2,-2474,5,-239,-174
FP1-EXP0004-C-145-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU4-FL185000,CONTROL,20700,4,185000,2,2,-4333,2,-2474,4,-652,-2474
FP1-EXP0004-C-146-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL0,CONTROL,20700,8,0,2,1,-1678,1,-3300,3,-497,-622
FP1-EXP0004-C-147-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL6000,CONTROL,20700,8,6000,2,1,-1678,1,-3300,4,-1087,-1961
FP1-EXP0004-C-148-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL30000,CONTROL,20700,8,30000,1,1,-1678,1,-3300,4,-652,-622
FP1-EXP0004-C-149-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL93000,CONTROL,20700,8,93000,0,0,,0,,4,-1678,-2474
FP1-EXP0004-C-150-CONTROL-R500-T2-U1-PD1000-9000-RB20700-BU8-FL185000,CONTROL,20700,8,185000,0,0,,0,,3,-2451,-1548
FP1-EXP0004-C-151-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL0,ROBUST_1,200,1,0,46,32,247,18,468,3,247,208
FP1-EXP0004-C-152-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL6000,ROBUST_1,200,1,6000,46,32,247,18,468,4,198,135
FP1-EXP0004-C-153-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL30000,ROBUST_1,200,1,30000,35,23,84,16,-70,4,198,245
FP1-EXP0004-C-154-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL93000,ROBUST_1,200,1,93000,15,10,636,8,526,4,360,228
FP1-EXP0004-C-155-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU1-FL185000,ROBUST_1,200,1,185000,3,1,-569,1,-622,3,-569,-622
FP1-EXP0004-C-156-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL0,ROBUST_1,200,2,0,44,27,407,18,63,4,321,338
FP1-EXP0004-C-157-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL6000,ROBUST_1,200,2,6000,43,27,407,18,63,5,256,208
FP1-EXP0004-C-158-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL30000,ROBUST_1,200,2,30000,34,21,150,15,22,5,150,63
FP1-EXP0004-C-159-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL93000,ROBUST_1,200,2,93000,15,10,636,8,526,5,636,526
FP1-EXP0004-C-160-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU2-FL185000,ROBUST_1,200,2,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-161-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL0,ROBUST_1,200,3,0,35,19,256,11,526,4,321,159
FP1-EXP0004-C-162-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL6000,ROBUST_1,200,3,6000,34,19,256,12,256,5,256,256
FP1-EXP0004-C-163-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL30000,ROBUST_1,200,3,30000,29,16,84,13,256,5,150,256
FP1-EXP0004-C-164-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL93000,ROBUST_1,200,3,93000,15,10,636,8,526,5,636,526
FP1-EXP0004-C-165-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU3-FL185000,ROBUST_1,200,3,185000,3,1,-569,1,-622,4,-569,-622
FP1-EXP0004-C-166-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL0,ROBUST_1,200,4,0,28,13,78,11,-47,4,78,239
FP1-EXP0004-C-167-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL6000,ROBUST_1,200,4,6000,26,13,78,11,-47,5,78,-47
FP1-EXP0004-C-168-ROBUST_1-R1500-T5-U9-PD2500-6500-RB200-BU4-FL30000,ROBUST_1,200,4,30000,24,12,-100,11,-47,5,78,256
